NR;Lot ASM;Lot;Productor;Previ 7;Final 7;Previ 42;Final 42
1;7588-1;HLY:2022-08-02;BH;60,96;59,91;34,38;31,33
2;7588-2;HKY:2022-08-06;BH;66,03;70,73;42,89;38,90
3;7590-1;QZY:2022-08-01;BH;70,40;69,88;42,41;39,87
4;7585-1;1-0220-220810D;CG;66,10;69,91;37,22;35,98
5;7585-2;1-0220-220811;CG;67,11;68,92;34,81;35,53
6;7591-2;1-0220-220816;CG;70,47;73,32;42,53;37,94
7;7591-1;1-0220-220817;CG;68,68;66,98;42,86;36,16
8;7617-1;HKY:2022-09-06;BH;60,49;64,61;36,45;31,15
9;7617-2;QZY:2022-09-33;BH;66,93;58,33;36,50;31,00
10;7629-2;HKY:2022-10-11;BH;73,44;71,03;38,19;36,71
11;7630-1;QZY:2022-10-08;BH;62,96;60,28;39,51;32,46
12;7654-1;1-0220-220924B;CG;67,66;65,74;44,76;41,07
13;7654-2;1-0220-221001B;CG;75,67;73,56;50,06;42,64
14;7655-1;1-0220-220923C;CG;71,51;68,87;46,01;35,10
15;7589-1;HLY:2022-09-01;BH;69,49;66,94;36,50;28,96
16;7570-1;HKY:2022-08-01;BH;64,59;60,70;34,77;26,86
17;7581-2;HKY:2022-08-03;BH;68,44;69,82;37,74;31,30
18;7579-1;HKY:2022-08-04;BH;65,51;67,47;36,30;30,63
19;7579-2;HKY:2022-08-05;BH;68,64;66,30;36,77;31,20
20;7590-2;QZY:2022-08-02;BH;63,81;61,55;36,86;30,12
21;7599-1;QZY:2022-09-03;BH;61,00;60,01;36,61;26,28
22;7599-2;QZY:2022-09-04;BH;65,01;59,45;36,00;28,12
23;7597-2;HKY:2022-08-38;BH;61,44;60,48;32,55;28,26
24;7601-1;HKY:2022-09-01;BH;70,09;72,97;33,22;28,45
25;7601-2;HKY:2022-09-02;BH;66,51;66,20;33,51;26,00
26;7600-1;1-0220-220819;CG;73,55;75,23;34,59;28,56
27;7600-2;1-0220-220819C;CG;76,46;72,85;38,86;33,86
28;7619-1;1-0220-220825;CG;83,33;81,12;38,15;30,45
29;7619-2;1-0220-220906;CG;82,49;79,81;34,05;28,59
30;7602-1;HLY:2022-09-02;BH;60,17;61,65;38,06;33,01
31;7603-1;HLY:2022-09-06;BH;66,98;68,96;38,19;34,08
32;7614-1;HKY:2022-09-55;BH;65,87;61,72;37,48;31,12
33;7614-2;QZY:2022-09-28;BH;70,24;66,81;41,19;34,66
34;7615-1;HKY:2022-09-05;BH;72,42;73,39;40,59;34,87
35;7615-2;QZY:2022-09-26;BH;69,66;70,06;43,96;38,31
36;7615-3;QZY:2022-09-22;BH;68,62;67,05;41,86;34,95
37;7616-1;QZY:2022-09-24;BH;68,69;69,40;41,01;32,39
38;7616-2;QZY:2022-09-30;BH;70,19;67,89;42,52;35,94
39;7617-3;QZY:2022-09-34;BH;67,75;64,37;36,36;30,38
40;7630-2;QZY:2022-10-11;BH;72,28;72,23;42,66;33,57
41;7629-1;HKY:2022-10-10;BH;75,56;74,88;39,52;32,95
42;7631-1;QZY:2022-10-10;BH;68,18;65,41;36,94;33,81
43;7631-2;QZY:2022-10-16;BH;70,89;71,78;40,55;34,01
44;7655-2;1-0220-220922C;CG;74,91;70,06;42,64;35,58
45;7656-1;1-0220-220925B;CG;72,37;72,19;43,56;37,57
46;7656-2;1-0220-220923B;CG;68,19;65,17;46,15;38,34
47;7707-1;20221103090;HB;64,98;57,12;40,43;26,58
48;7707-2;20221105093;HB;67,73;64,09;39,71;30,60
49;7707-3;20221107096;HB;71,34;65,30;43,98;30,29
50;7707-4;20221107097;HB;66,51;65,94;43,39;32,17